,OBJECTID_x,NGBRHD2,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,OBJECTID_y,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child
60,65.0,San Jose - Downtown,77138.0,11.0,24.0,34.0,65.0,13.0,15.0,22.0,49.0,28.0,65.0,82.0,127.9,131.4,39.0,30.6,29.05,33.8,31.9,19.9,18.6,12.9,7.0,9.0,42.0,69.0,27.9,15,16,17% to 22%,8% to 10%
61,66.0,San Jose - East Foothills,83419.0,11.0,25.0,45.0,65.0,29.0,24.0,28.0,20.0,53.0,66.0,82.0,173.1,133.4,51.7,37.5,29.05,27.2,31.9,19.9,18.6,14.9,6.0,9.0,48.0,69.0,34.6,10% to 11%,23% to 31%,26% to 38%,15% to 21%
62,67.0,San Jose - East Valley,57648.0,11.0,35.0,52.0,37.0,39.0,28.0,23.0,11.0,67.0,67.0,81.0,150.0,131.8,29.0,38.6,25.8,29.7,44.2,36.1,18.6,18.5,6.0,10.0,53.0,70.0,54.8,12,28,26% to 38%,15% to 21%
63,68.0,San Jose - East Valley / 680,77949.0,10.0,21.0,27.0,65.0,22.0,23.0,25.0,30.0,45.0,68.0,84.0,123.0,130.0,39.0,29.8,29.05,27.2,29.0,30.1,18.6,13.0,8.0,10.0,39.0,68.0,18.5,10% to 11%,20% to 23%,26% to 38%,10% to 15%
64,69.0,San Jose - North Valley,98460.0,11.0,14.0,19.0,53.0,14.0,15.0,22.0,48.0,29.0,69.0,86.0,134.7,83.1,22.5,33.7,19.4,17.9,28.9,19.9,18.6,16.7,8.0,9.0,29.0,70.0,15.2,11,16,22% to 26%,8% to 10%
65,70.0,San Jose - Northside,55183.0,13.0,35.0,49.0,65.0,25.0,23.0,22.0,30.0,48.0,70.0,82.0,126.6,116.3,38.8,28.2,29.0,42.3,36.8,19.9,17.9,15.9,6.0,10.0,49.0,72.0,41.9,16,24,17% to 22%,15% to 21%
66,71.0,San Jose - University,43543.0,12.0,41.0,61.0,65.0,20.0,15.0,27.0,38.0,35.0,71.0,81.0,197.7,125.5,39.0,29.8,29.05,59.9,31.9,19.9,18.6,8.4,7.0,11.0,46.0,76.0,7.8,13% to 16%,1% to 15%,0% to 11%,8% to 10%
67,72.0,San Tomas - North,100978.0,7.0,15.0,22.0,76.0,7.0,15.0,29.0,49.0,22.0,72.0,82.0,139.1,137.2,57.3,27.6,36.0,31.3,31.9,19.9,18.6,12.8,6.0,9.0,36.0,74.0,11.7,10,20,22% to 26%,8% to 10%
68,73.0,Santa Teresa,103688.0,10.0,12.0,19.0,63.0,11.0,18.0,34.0,37.0,29.0,73.0,82.0,189.3,122.5,39.0,29.8,29.05,27.2,36.9,19.9,18.6,13.0,7.0,11.0,46.0,75.0,14.8,9,22,26% to 38%,10% to 15%
69,74.0,Silver Creek / Basking Ridge,140738.0,7.0,5.0,27.5,65.0,5.0,11.0,22.0,61.0,16.0,74.0,86.0,134.8,97.0,31.5,23.7,15.8,27.2,13.7,19.9,18.6,9.5,7.0,9.0,27.0,76.0,5.5,4,16,11% to 17%,6% to 8%
